cleaned_text,label
pasti dan harus nonton dream theater di solo agustus tidak ada cerita tidak tidak ada uang pakai paylater kalau perlu,positif
ko tidak ada notifikasi atau info tentang naik biaya langgan paylater yah benar benar shock naik bisa drastis x lipat lebihh biasa hanya,negatif
baru aktivin spaylater turut tidak apaapa nyicil asal tau batas mampu yang bahaya kalau berani ambil cicil apalagi yang besar tapi tidak siap buat bayar omong aku pakai spaylater buat nyari promo saja,positif
sungguh fitur paylater dari traveloka dan gojek itu adalah modernisasi dari bayar jenis pakai uang kamu dulu nanti aku ganti,positif
avail bayar juga ini pakai paylater apa ups wakakakakakakka,netral
baru tau nyata paylater beli buat bisa token listrik juga,positif
baru mau top atas diamond pakai paylater terus iseng ngecek history paylater lalu pas di cek nyata buset naik kali lipat biaya administrasi per bulan aku belum auto gajadi tolong tidak ada sosialisasi tiba tiba naik bangsat,negatif
yha utang ada di anjingg paylater shopee,negatif
sistem shopee paylater masalah konsumen yang kena getah getah cc,negatif
paylater bunuh,negatif
jumlah tidak sih tapi tetap saja kalau sudah kirim rumah bisa brabe kan habis itu tidak buat paylater lagi karena itu racun,negatif
kalau ingin investasinabung itu jauhin paylater aduh percuma kamu kamu ngebekal ilmuny tapi duit tidak ada,negatif
tagih paylater saia lumayan juga ya,positif
admin aku transaksi pulsa dengan paylater kok tidak hitung mission sih,negatif
jawab sudah aku erti kok sudah template nya aku sekarang rasa tidak nyaman dengan ada paylater di aplikasi gojek sudah banyak yang komplain tapi tetap saja kasih jawab yang itu saja,negatif
sudah awal bulan rumah saja spotify mau paylater sudah nagih terus,negatif
ini paylater tidak mau nunda bayar tagih dulu ini refund aku belum dibalikin,negatif
salah satu ux yang paling nyebelin adalah uxnya gojek pas mau bayar dia defaultnya pasti paylater anjing ini ke banyak orang tidak ngeh ini kalau dia sebenernya bukan bayar pakai gopay tapi pakai paylater,negatif
ada yang pernah pakai paylater gitu tidak boleh sharing dong,netral
hanya bisa pakai itu doang kakak yang shopeepaylater sudah tidak ada,negatif
gapernah ngerasa pakai fitur paylater dari gojek tapi dapat tagih pulsa sampai rb komplain ke telpon center gojek malah di oper suruh hubung findaya malah sulit padahal tidak dapat kode otp apa,negatif
aku mah gapapa tidak kebel baju lebaran juga yang penting bisa ke bayar shopee paylater,positif
riba sekali sekali paylater gojeq,negatif
neo co sudah ready di kpopsale gatel ingin zone tapi sadar paylater ku panggil,netral
bayar rumah bayar cicil cicil paylater dsb beli susu box dan minyak liter,netral
itu yang numpuk utang di paylater apa tidak khawatir dengan masa depan,negatif
